candidate_left,candidate_right,classification,disagreement_case_count,disagreement_fraction
sqi_not_required__bis10s__drug30s,sqi_not_required__bis10s__drug30s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis10s__drug60s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis10s__drug120s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis10s__drug300s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis10s__drug600s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis20s__drug30s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis20s__drug60s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis20s__drug120s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis20s__drug300s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis20s__drug600s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis30s__drug30s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis30s__drug60s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis30s__drug120s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis30s__drug300s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_not_required__bis30s__drug600s,at_least_one_usable_window,0,0.0
sqi_not_required__bis10s__drug30s,sqi_ge_20__bis10s__drug30s,at_least_one_usable_window,2,0.0008097165991902834
sqi_not_required__bis10s__drug30s,sqi_ge_20__bis10s__drug60s,at_least_one_usable_window,2,0.0008097165991902834
sqi_not_required__bis10s__drug30s,sqi_ge_20__bis10s__drug120s,at_least_one_usable_window,2,0.0008097165991902834
sqi_not_required__bis10s__drug30s,sqi_ge_20__bis10s__drug300s,at_least_one_usable_window,2,0.0008097165991902834
sqi_not_required__bis10s__drug30s,sqi_ge_20__bis10s__drug600s,at_least_one_usable_window,2,0.0008097165991902834
