candidate_id,sqi_rule,bis_staleness_cap_seconds,drug_hold_cap_seconds,case_count,total_candidate_grid_points,usable_history_endpoints,usable_target_points,total_usable_windows,usable_case_count,zero_window_cases,patient_window_count_distribution,failure_reason_counts,overlapping_failure_reason_counts,duplicate_timestamp_affected_endpoint_count,future_timestamp_use_count,cross_case_connection_count,selected,recommended
sqi_not_required__bis10s__drug30s,sqi_not_required,10,30,2470,2500472,2475848,2491570,2474191,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":845.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":210.0,""q05"":324.0,""q25"":539.0,""q75"":1337.0,""q95"":2172.0,""q99"":2899.0}","{""history_bis_unavailable"":14331,""history_propofol_unavailable"":13686,""history_remifentanil_unavailable"":14365,""target_bis_unavailable"":8902}","{""PASS"":2474191,""history_bis_unavailable"":6061,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":1028,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":3169,""history_bis_unavailable|target_bis_unavailable"":4073,""history_propofol_unavailable"":125,""history_propofol_unavailable|history_remifentanil_unavailable"":9361,""history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":3,""history_remifentanil_unavailable"":804,""target_bis_unavailable"":1657}",3449,0,0,false,false
sqi_not_required__bis10s__drug60s,sqi_not_required,10,60,2470,2500472,2476729,2491570,2475072,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":845.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":213.0,""q05"":325.0,""q25"":540.0,""q75"":1338.0,""q95"":2174.0,""q99"":2899.0}","{""history_bis_unavailable"":14331,""history_propofol_unavailable"":11980,""history_remifentanil_unavailable"":12688,""target_bis_unavailable"":8902}","{""PASS"":2475072,""history_bis_unavailable"":6659,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":430,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2975,""history_bis_unavailable|target_bis_unavailable"":4267,""history_propofol_unavailable"":129,""history_propofol_unavailable|history_remifentanil_unavailable"":8443,""history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":3,""history_remifentanil_unavailable"":837,""target_bis_unavailable"":1657}",3449,0,0,false,false
sqi_not_required__bis10s__drug120s,sqi_not_required,10,120,2470,2500472,2478277,2491570,2476618,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":845.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":213.0,""q05"":325.0,""q25"":540.0,""q75"":1339.0,""q95"":2174.0,""q99"":2899.0}","{""history_bis_unavailable"":14331,""history_propofol_unavailable"":10181,""history_remifentanil_unavailable"":10757,""target_bis_unavailable"":8902}","{""PASS"":2476618,""history_bis_unavailable"":6799,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":290,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2702,""history_bis_unavailable|target_bis_unavailable"":4540,""history_propofol_unavailable"":99,""history_propofol_unavailable|history_remifentanil_unavailable"":7089,""history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":1,""history_remifentanil_unavailable"":675,""target_bis_unavailable"":1659}",3449,0,0,false,false
sqi_not_required__bis10s__drug300s,sqi_not_required,10,300,2470,2500472,2481484,2491570,2479825,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":846.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":216.0,""q05"":326.0,""q25"":543.0,""q75"":1339.0,""q95"":2174.0,""q99"":2899.0}","{""history_bis_unavailable"":14331,""history_propofol_unavailable"":6580,""history_remifentanil_unavailable"":6999,""target_bis_unavailable"":8902}","{""PASS"":2479825,""history_bis_unavailable"":6945,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":144,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2253,""history_bis_unavailable|target_bis_unavailable"":4989,""history_propofol_unavailable"":55,""history_propofol_unavailable|history_remifentanil_unavailable"":4127,""history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":1,""history_remifentanil_unavailable"":474,""target_bis_unavailable"":1659}",3449,0,0,false,false
sqi_not_required__bis10s__drug600s,sqi_not_required,10,600,2470,2500472,2484019,2491570,2482359,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":850.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":216.0,""q05"":326.0,""q25"":543.0,""q75"":1339.0,""q95"":2174.0,""q99"":2899.0}","{""history_bis_unavailable"":14331,""history_propofol_unavailable"":3793,""history_remifentanil_unavailable"":3996,""target_bis_unavailable"":8902}","{""PASS"":2482359,""history_bis_unavailable"":6986,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":103,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":1785,""history_bis_unavailable|target_bis_unavailable"":5457,""history_propofol_unavailable"":14,""history_propofol_unavailable|history_remifentanil_unavailable"":1891,""history_remifentanil_unavailable"":217,""target_bis_unavailable"":1660}",3449,0,0,false,false
sqi_not_required__bis20s__drug30s,sqi_not_required,20,30,2470,2500472,2480357,2492655,2479605,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":847.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":210.0,""q05"":324.0,""q25"":540.0,""q75"":1340.0,""q95"":2179.0,""q99"":2908.0}","{""history_bis_unavailable"":9752,""history_propofol_unavailable"":13686,""history_remifentanil_unavailable"":14365,""target_bis_unavailable"":7817}","{""PASS"":2479605,""history_bis_unavailable"":1720,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":967,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":3160,""history_bis_unavailable|target_bis_unavailable"":3905,""history_propofol_unavailable"":125,""history_propofol_unavailable|history_remifentanil_unavailable"":9434,""history_remifentanil_unavailable"":804,""target_bis_unavailable"":752}",3449,0,0,false,false
sqi_not_required__bis20s__drug60s,sqi_not_required,20,60,2470,2500472,2481290,2492655,2480538,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":847.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":213.0,""q05"":325.0,""q25"":541.0,""q75"":1340.0,""q95"":2181.0,""q99"":2908.0}","{""history_bis_unavailable"":9752,""history_propofol_unavailable"":11980,""history_remifentanil_unavailable"":12688,""target_bis_unavailable"":7817}","{""PASS"":2480538,""history_bis_unavailable"":2271,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":416,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2971,""history_bis_unavailable|target_bis_unavailable"":4094,""history_propofol_unavailable"":129,""history_propofol_unavailable|history_remifentanil_unavailable"":8464,""history_remifentanil_unavailable"":837,""target_bis_unavailable"":752}",3449,0,0,false,false
sqi_not_required__bis20s__drug120s,sqi_not_required,20,120,2470,2500472,2482841,2492655,2482089,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":847.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":213.0,""q05"":325.0,""q25"":543.0,""q75"":1342.0,""q95"":2181.0,""q99"":2908.0}","{""history_bis_unavailable"":9752,""history_propofol_unavailable"":10181,""history_remifentanil_unavailable"":10757,""target_bis_unavailable"":7817}","{""PASS"":2482089,""history_bis_unavailable"":2409,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":278,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2699,""history_bis_unavailable|target_bis_unavailable"":4366,""history_propofol_unavailable"":99,""history_propofol_unavailable|history_remifentanil_unavailable"":7105,""history_remifentanil_unavailable"":675,""target_bis_unavailable"":752}",3449,0,0,false,false
sqi_not_required__bis20s__drug300s,sqi_not_required,20,300,2470,2500472,2486057,2492655,2485305,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":849.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":216.0,""q05"":326.0,""q25"":543.0,""q75"":1342.0,""q95"":2181.0,""q99"":2908.0}","{""history_bis_unavailable"":9752,""history_propofol_unavailable"":6580,""history_remifentanil_unavailable"":6999,""target_bis_unavailable"":7817}","{""PASS"":2485305,""history_bis_unavailable"":2546,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":141,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":2250,""history_bis_unavailable|target_bis_unavailable"":4815,""history_propofol_unavailable"":55,""history_propofol_unavailable|history_remifentanil_unavailable"":4134,""history_remifentanil_unavailable"":474,""target_bis_unavailable"":752}",3449,0,0,false,false
sqi_not_required__bis20s__drug600s,sqi_not_required,20,600,2470,2500472,2488598,2492655,2487846,2468,2,"{""available_count"":2470,""maximum"":3706.0,""median"":851.0,""method"":""nearest_rank_observed_values"",""minimum"":0.0,""missing_count"":0,""q01"":216.0,""q05"":326.0,""q25"":544.0,""q75"":1342.0,""q95"":2181.0,""q99"":2908.0}","{""history_bis_unavailable"":9752,""history_propofol_unavailable"":3793,""history_remifentanil_unavailable"":3996,""target_bis_unavailable"":7817}","{""PASS"":2487846,""history_bis_unavailable"":2583,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable"":104,""history_bis_unavailable|history_propofol_unavailable|history_remifentanil_unavailable|target_bis_unavailable"":1784,""history_bis_unavailable|target_bis_unavailable"":5281,""history_propofol_unavailable"":14,""history_propofol_unavailable|history_remifentanil_unavailable"":1891,""history_remifentanil_unavailable"":217,""target_bis_unavailable"":752}",3449,0,0,false,false
