candidate_id,minimum_usable_windows,pass_case_count,fail_case_count,pass_fraction,approximate_minutes_of_10s_endpoints,is_continuous_duration_claim,selected
sqi_not_required__bis10s__drug30s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis10s__drug30s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis10s__drug30s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis10s__drug30s,300,2379,91,0.9631578947368421,50.0,false,false
sqi_not_required__bis10s__drug30s,600,1700,770,0.6882591093117408,100.0,false,false
sqi_not_required__bis10s__drug60s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis10s__drug60s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis10s__drug60s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis10s__drug60s,300,2379,91,0.9631578947368421,50.0,false,false
sqi_not_required__bis10s__drug60s,600,1700,770,0.6882591093117408,100.0,false,false
sqi_not_required__bis10s__drug120s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis10s__drug120s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis10s__drug120s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis10s__drug120s,300,2379,91,0.9631578947368421,50.0,false,false
sqi_not_required__bis10s__drug120s,600,1703,767,0.6894736842105263,100.0,false,false
sqi_not_required__bis10s__drug300s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis10s__drug300s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis10s__drug300s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis10s__drug300s,300,2380,90,0.9635627530364372,50.0,false,false
sqi_not_required__bis10s__drug300s,600,1708,762,0.691497975708502,100.0,false,false
sqi_not_required__bis10s__drug600s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis10s__drug600s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis10s__drug600s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis10s__drug600s,300,2381,89,0.9639676113360324,50.0,false,false
sqi_not_required__bis10s__drug600s,600,1711,759,0.6927125506072874,100.0,false,false
sqi_not_required__bis20s__drug30s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis20s__drug30s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis20s__drug30s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis20s__drug30s,300,2380,90,0.9635627530364372,50.0,false,false
sqi_not_required__bis20s__drug30s,600,1702,768,0.6890688259109312,100.0,false,false
sqi_not_required__bis20s__drug60s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis20s__drug60s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis20s__drug60s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis20s__drug60s,300,2380,90,0.9635627530364372,50.0,false,false
sqi_not_required__bis20s__drug60s,600,1702,768,0.6890688259109312,100.0,false,false
sqi_not_required__bis20s__drug120s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis20s__drug120s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis20s__drug120s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis20s__drug120s,300,2380,90,0.9635627530364372,50.0,false,false
sqi_not_required__bis20s__drug120s,600,1706,764,0.6906882591093118,100.0,false,false
sqi_not_required__bis20s__drug300s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis20s__drug300s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis20s__drug300s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis20s__drug300s,300,2381,89,0.9639676113360324,50.0,false,false
sqi_not_required__bis20s__drug300s,600,1710,760,0.6923076923076923,100.0,false,false
sqi_not_required__bis20s__drug600s,30,2466,4,0.9983805668016195,5.0,false,false
sqi_not_required__bis20s__drug600s,60,2465,5,0.9979757085020243,10.0,false,false
sqi_not_required__bis20s__drug600s,120,2463,7,0.9971659919028341,20.0,false,false
sqi_not_required__bis20s__drug600s,300,2382,88,0.9643724696356275,50.0,false,false
sqi_not_required__bis20s__drug600s,600,1713,757,0.6935222672064777,100.0,false,false
sqi_not_required__bis30s__drug30s,30,2466,4,0.9983805668016195,5.0,false,false
