caseid,status,attempt_count,started_at,completed_at,tracks_requested,tracks_downloaded,bytes_downloaded,checksums,failure_type,failure_message,retryable,source_version
347,complete,1,2026-07-19T14:50:39.850077+00:00,2026-07-19T14:50:40.248526+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",251606,"{""bis.csv"":""3cf7b84aa45b05d575a5839abacee7974e636b8d08fd2db1a34f0d656b5f1cd0"",""clinical.json"":""5ae680d0d42b55f31d77a3a943c2bfac0a3818d6d8df180ee3f92f93307a02e2"",""propofol_rate.csv"":""aba38b6f20a296db7dfb65fd53121291fe780ae2967de47d26197e0dd0f3446b"",""remifentanil_rate.csv"":""6873a1df2d4c999179147e46eca5de2973eb7ae03133217785ff8fcecf2109c4"",""source_metadata.json"":""a609e27dd9b5ac5fff5065f33d9c00bfb7d09217d7515198ad5980a7df1a7e61"",""track_inventory.json"":""e2d40cc9c801e50b67a0f73313d8f591cbfcbecf2542a83c5c15a4406518811d""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
355,failed,1,2026-07-19T14:50:40.270220+00:00,2026-07-19T14:50:40.286228+00:00,"[""bis""]",[],0,{},NonRetryableDownloadError,"required tracks missing: ['propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1149,complete,1,2026-07-19T14:50:40.304884+00:00,2026-07-19T14:50:40.824644+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",1866205,"{""bis.csv"":""e155491fbf6632b9c6a5aa81c775c935e6205c527fc709045e7fb2a8d34c8ac8"",""clinical.json"":""4872726d8bfcb1ba480c8468326d639c1aa3d91b3f2016a822c2877620fd84ea"",""propofol_rate.csv"":""ae618e4a6df7e0e2ad109f6bf2171c4683fc9db657edd9e8b2288ec0df55cd95"",""remifentanil_rate.csv"":""f6b2c2bea19be66801f83c9dc3593f6cda73156efab974b1a45fdf420dee224e"",""source_metadata.json"":""5c28fdf3dd3f4be1759d6320a39092e4a2881d0e588697730a7c01ac07680cc0"",""track_inventory.json"":""516e855c64f1b7e9edc2e13499e161664f6cfd56d6c41197bb57b8dc1d965358""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1189,failed,1,2026-07-19T14:50:40.837649+00:00,2026-07-19T14:50:40.850159+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1213,complete,1,2026-07-19T14:50:40.866309+00:00,2026-07-19T14:50:41.337619+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",839900,"{""bis.csv"":""c3c1092d7693798dc6adb2ce7ef2759b887f5e32baf0db7d3efa2c9c82526a77"",""clinical.json"":""897d7ea23b9aced6375fc2e4c771f225f68d2db587c29fbeb67989fd67681199"",""propofol_rate.csv"":""98d9afeeae760e60e9a8afa700686eeabf0c2d7cf24134cabc465243ff4918ac"",""remifentanil_rate.csv"":""173484bfd22882fbb0db87f7a243ae2aa0b4d3408b7905e726df844d9a7f50b2"",""source_metadata.json"":""622b1cb92039f948d4916308219e4a78512509365cd28b50284ac4a6a6398409"",""track_inventory.json"":""ae86979d3cf69e0c6330aee443345e1530045e0b937f72b438db30ecf4004e81""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1380,complete,1,2026-07-19T14:50:41.359201+00:00,2026-07-19T14:50:41.688311+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",437950,"{""bis.csv"":""d95cf9e4dda211bfd39564869329608edde10fb6ce79ff5aad2d6462a37557e2"",""clinical.json"":""48264bd50e14e59bee2e1ff76a8a3dd9a7ff4cf4d571793ab20a39137649efb6"",""propofol_rate.csv"":""2bac8c8477c0aeb9c822220e32021e5e865e61d65d6a511e431b8ee6f013848f"",""remifentanil_rate.csv"":""f98b8ef3e4ef4ebb1c7ba8462573e3568287d4a979a8ab33b4196578694757a0"",""source_metadata.json"":""5140658fe2f460ff6f1b795595f7db3fe87ea42a33f842bb3cc0b121738219bb"",""track_inventory.json"":""eea7e9b5411e573230ef0520054af5bdcc45008013dde10b5cd29f7c6c9e7f57""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1486,failed,1,2026-07-19T14:50:41.709707+00:00,2026-07-19T14:50:41.737824+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
1655,complete,1,2026-07-19T14:50:41.766256+00:00,2026-07-19T14:50:42.210878+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",2282719,"{""bis.csv"":""ed4dcc091e3f604e4d776505c37df3cad192da4ccbe959ac1dbcbbbdcf1b5eb1"",""clinical.json"":""bb9e66f0873eb4c71ab024ab8f786c4b24293fe2e04fe653ae5d92471bbc59ae"",""propofol_rate.csv"":""ebf88b4bc85d6593e4bdfeadaa07722fec77acb065b7147f2d62b5270fc99594"",""remifentanil_rate.csv"":""915fd2338e06d6342514475732fb8a3fe164f403ac7725ac7031efe97364d410"",""source_metadata.json"":""deeda5ac57849f9175dda93e350efdd4077459bcb10dcd20f99a2e1b8c103dd3"",""track_inventory.json"":""4ef4b678575427814608240275996e2504e622ed7c8901b7dd7b25adf7f46a8b""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2183,failed,1,2026-07-19T14:50:42.231875+00:00,2026-07-19T14:50:42.248968+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2372,failed,1,2026-07-19T14:50:42.271780+00:00,2026-07-19T14:50:42.286930+00:00,"[""bis""]",[],0,{},NonRetryableDownloadError,"required tracks missing: ['propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
