analysis_level,variable,level,train_n,test_n,train_count,test_count,train_proportion,test_proportion,signed_proportion_difference,absolute_proportion_difference,train_mean,train_sample_sd_ddof1,test_mean,test_sample_sd_ddof1,train_median,train_q1,train_q3,test_median,test_q1,test_q3,standardized_mean_difference,absolute_smd,interpretation,allocation_role,quantile_method
subject_primary_continuous,subject_age_median,,1932,483,,,,,,,58.03856107660455,13.944810156293869,57.90786749482402,14.142073282559878,59.0,49.0,68.0,59.0,50.0,68.0,0.00930614881661903,0.00930614881661903,acceptable,primary_predeclared_stratum_or_balance_only_no_retry,linear_interpolation_position_n_minus_1
subject_primary_continuous,subject_height_median_cm,,1932,483,,,,,,,162.22802795031055,8.441080859884753,162.2027950310559,8.554563549608513,161.9,156.0,168.4,162.1,155.7,169.0,0.0029692733228437185,0.0029692733228437185,acceptable,primary_predeclared_stratum_or_balance_only_no_retry,linear_interpolation_position_n_minus_1
subject_primary_continuous,subject_weight_median_kg,,1932,483,,,,,,,61.6992132505176,11.354000970557944,62.034213250517595,11.003430269658782,60.625,53.4,68.5125,60.55,54.05,69.2,-0.029963981155984278,0.029963981155984278,acceptable,primary_predeclared_stratum_or_balance_only_no_retry,linear_interpolation_position_n_minus_1
subject_primary_continuous,subject_case_count,,1932,483,,,,,,,1.0196687370600415,0.22209933346662064,1.0144927536231885,0.11963421710254106,1.0,1.0,1.0,1.0,1.0,1.0,0.029016245782349705,0.029016245782349705,acceptable,primary_predeclared_stratum_or_balance_only_no_retry,linear_interpolation_position_n_minus_1
subject_primary_categorical,sex_group,male,1932,483,947,238,0.4901656314699793,0.4927536231884058,-0.0025879917184264967,0.0025879917184264967,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,sex_group,female,1932,483,985,245,0.5098343685300207,0.5072463768115942,0.0025879917184264967,0.0025879917184264967,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_age_group,18_to_lt_40,1932,483,211,53,0.10921325051759834,0.10973084886128365,-0.0005175983436853104,0.0005175983436853104,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_age_group,40_to_lt_60,1932,483,764,192,0.39544513457556935,0.39751552795031053,-0.0020703933747411862,0.0020703933747411862,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_age_group,60_to_lt_75,1932,483,733,183,0.37939958592132506,0.37888198757763975,0.0005175983436853104,0.0005175983436853104,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_age_group,ge_75,1932,483,224,55,0.11594202898550725,0.11387163561076605,0.0020703933747412,0.0020703933747412,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_case_count_band,one_case,1932,483,1902,476,0.984472049689441,0.9855072463768116,-0.0010351966873706209,0.0010351966873706209,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_case_count_band,two_cases,1932,483,28,7,0.014492753623188406,0.014492753623188406,0.0,0.0,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
subject_primary_categorical,subject_case_count_band,three_or_more_cases,1932,483,2,0,0.0010351966873706005,0.0,0.0010351966873706005,0.0010351966873706005,,,,,,,,,,,,,acceptable,primary_predeclared_stratum_no_retry,
case_secondary_categorical,age_group,18_to_lt_40,1970,490,221,54,0.11218274111675126,0.11020408163265306,0.0019786594840981997,0.0019786594840981997,,,,,,,,,,,,,acceptable,secondary_descriptive_warning_only,
