caseid,track_name,raw_relative_path,raw_byte_count,raw_sha256,checksum_verified
103,BIS/BIS,cases/103/bis.signal,68875,04c383d4685843da01e628ae35b1d2a15cad62545d1a8739fcfa3757a1d5acc9,true
103,BIS/SQI,cases/103/bis_sqi.signal,68875,7127c97b95597003bd89f57ce5a79fd5a00440975c39138ba28e35948968da50,true
103,Orchestra/PPF20_RATE,cases/103/ppf20_rate.signal,503067,7e7452cbdc6fc33025ea34502a36267326574083b06c27960af96537a2c114ee,true
103,Orchestra/RFTN20_RATE,cases/103/rftn20_rate.signal,504238,c5d4df1da7a997f289c37ecbba99fe27e8517b0eb3cbdce566c041bf68d70b76,true
203,BIS/BIS,cases/203/bis.signal,83844,8e9fddb08d2f0cb30b853f5fa4f4e60f7e13e201184dc2b00dc3dedb25aa5774,true
203,BIS/SQI,cases/203/bis_sqi.signal,83551,eeaedfdc1e06eee8a32596feb752d3b720cd5a7be583ba1f83709d009e141939,true
203,Orchestra/PPF20_RATE,cases/203/ppf20_rate.signal,285590,48918964ff14858ff61f319bcf9a292ad71d33ffddeea629d33cee997828b058,true
203,Orchestra/RFTN20_RATE,cases/203/rftn20_rate.signal,279886,05f0661fe28d91bebee65def23f0312181d765e51dc74169f687161ad45de0b1,true
205,BIS/BIS,cases/205/bis.signal,165590,1da8be611fcce0d6fac875145f77b705b28773e3991c1bf261cbae9d4af08d86,true
205,BIS/SQI,cases/205/bis_sqi.signal,162328,3fa7472e4d02650fcda20ef6b284ab37d6302d25526b95aa1082bbcfe543a205,true
205,Orchestra/PPF20_RATE,cases/205/ppf20_rate.signal,445576,b52438e76cddb228498b551b9934aa0cbb39a80983515a094a64097c91c85c5e,true
205,Orchestra/RFTN20_RATE,cases/205/rftn20_rate.signal,449118,7114b242d342fcfb3ddc44eb4a06345508eaf0917e7bd6ae76f5a1ba15b1df3f,true
208,BIS/BIS,cases/208/bis.signal,112568,71f191f961720b57170322c49a89d167179b1e88042dbeedfd550cd17e2d8038,true
208,BIS/SQI,cases/208/bis_sqi.signal,112778,eac59ba85be245c535e628330a858b6155bbcd3b1c40bc32442006c4f5bedefc,true
208,Orchestra/PPF20_RATE,cases/208/ppf20_rate.signal,281478,2689102d12cf22eaea0eebf188620416715d4eb5ca392c5ad76b08e027a56b4b,true
208,Orchestra/RFTN20_RATE,cases/208/rftn20_rate.signal,283779,fe8878e39cf80dbf576aed8560a2881ee7b74eb761caf688e149ea2b6aab83be,true
211,BIS/BIS,cases/211/bis.signal,119511,1cc9b5c3dba311c2e5b1a68564a360688f744493defdd49a218109c57d76e159,true
211,BIS/SQI,cases/211/bis_sqi.signal,119229,4d3b505451d79334c3fcb70ac2b8db4a6c873cc313fe129e8582b191c99b05e8,true
211,Orchestra/PPF20_RATE,cases/211/ppf20_rate.signal,417583,0cb2389f266ecea286899d14b5d66f2056784553564003aa623d37fb5ea40b42,true
211,Orchestra/RFTN20_RATE,cases/211/rftn20_rate.signal,421571,dd64c62186250539bb3c928678744b0971a793096a26a4f74c881071505f5c2e,true
212,BIS/BIS,cases/212/bis.signal,39318,30974111513049c89e246a96a048d6c54b85d5d8382ac9416b8ffa67a12dc952,true
212,BIS/SQI,cases/212/bis_sqi.signal,39102,e22cca8eb2e0be965ec03b5177b986aa549b9c6d0322770cb9324670ab1cb21c,true
212,Orchestra/PPF20_RATE,cases/212/ppf20_rate.signal,108189,c3038e1a39fecc51f86a89cfcaee22d6c558c9d7a66923e6e7800a65935dffd1,true
212,Orchestra/RFTN20_RATE,cases/212/rftn20_rate.signal,107733,41eb9e7c12a5a9bb316508c2201e57b977f2795f0b75ff43a1fd8aed971207fc,true
214,BIS/BIS,cases/214/bis.signal,90110,8e6ba798cf0b9a1a0431dff576de86a0403750c2177af2feb3c484adaa3ef7c2,true
214,BIS/SQI,cases/214/bis_sqi.signal,90283,667d54f7661dee1620786c026380040f15f67e86c4a65d2e23b51234b074e979,true
214,Orchestra/PPF20_RATE,cases/214/ppf20_rate.signal,91562,66aa85f1c15eb3ef6322e25e2e494ec8eeddc1774af51696ffabaa749ecb364b,true
214,Orchestra/RFTN20_RATE,cases/214/rftn20_rate.signal,90564,33e957303a26ce37a8e5e28d279ce580a98f6aced5577996628d8793239a9d98,true
216,BIS/BIS,cases/216/bis.signal,67583,12dcd9401b0426950ffa232f56b2d46b189308c45744fd5b3378b771e2b53836,true
216,BIS/SQI,cases/216/bis_sqi.signal,68591,b5212db4186d774a809dc30b0297fc4527582ec83b8632198d2ca15659722433,true
216,Orchestra/PPF20_RATE,cases/216/ppf20_rate.signal,191461,98fb334ad96acd7216a9af39c9f4a28dbb40f42306e64323eabfb57d4e551017,true
216,Orchestra/RFTN20_RATE,cases/216/rftn20_rate.signal,195699,0cdc2b6ea0da67effeea74f45b1bbd5cb6ad367489155257b04e6f2838f8c280,true
218,BIS/BIS,cases/218/bis.signal,218470,3d553ff0ef681f4f7667071781a83e867e31185e341cde2c09c15995d9ccc793,true
218,BIS/SQI,cases/218/bis_sqi.signal,215143,85c0fb53287bdb45acbbd90625488c1b2dc841191f5bd3588b4fb051a0fbed16,true
218,Orchestra/PPF20_RATE,cases/218/ppf20_rate.signal,853619,3f8080fcd55895816397e2a93814d2e65b2d91d200b80e4396bc19d124cbd2ed,true
218,Orchestra/RFTN20_RATE,cases/218/rftn20_rate.signal,854314,5657288b1ff68f37b185582aee33bdee2b6b184b2afa7bd4439e69a48ade7d3e,true
221,BIS/BIS,cases/221/bis.signal,71143,d86ea5b41853a4e959ab49c2d190fa8b418327400ac100ea03fb5a1bd4695d88,true
221,BIS/SQI,cases/221/bis_sqi.signal,70877,59236fd73314f42c0123dc98c14484032560445942457160275657c777472d90,true
221,Orchestra/PPF20_RATE,cases/221/ppf20_rate.signal,184960,ed80da518ffb5fdb9b505f53f3e7d405dc6463411d4055a47d775546f51ac6c3,true
221,Orchestra/RFTN20_RATE,cases/221/rftn20_rate.signal,185127,deca755372aa6df54991b54698da2a1b24888f8e80135f8f3a3d4bda25ff629a,true
223,BIS/BIS,cases/223/bis.signal,71038,9decf6b86071438bb74d747c99ef6806590e1e1f77291edb1377de8dcf5e1864,true
223,BIS/SQI,cases/223/bis_sqi.signal,71203,538909a2f72f4cf5015ce6c7f03028451c24150b80e9eb3f1ec8ba4b399b7b02,true
223,Orchestra/PPF20_RATE,cases/223/ppf20_rate.signal,246455,08c090e7a8b054ba942bb46c586cc537522298528376212f95b39e32fa8cc87c,true
223,Orchestra/RFTN20_RATE,cases/223/rftn20_rate.signal,250880,440eb5c30172ca4105f9e9249d9403d4bd01d280178fa02223718d849aeb718f,true
226,BIS/BIS,cases/226/bis.signal,51821,1cde7e666d55f2a68c317964f80931e24adbbd32a655535aaba08651df7911f1,true
226,BIS/SQI,cases/226/bis_sqi.signal,51351,13b0368b4d1cf6a9b0a0fe4341776d4682714d99ed48ff8cbb75563a38429487,true
226,Orchestra/PPF20_RATE,cases/226/ppf20_rate.signal,151877,83ab74c03eb05f996932ce2343b5ff568eb79176cfbf53e126e880fef86a0504,true
226,Orchestra/RFTN20_RATE,cases/226/rftn20_rate.signal,148383,86ab5a58d3f0d64113501bf734b9ecca970cb33163c6eb8383aa1777d063dc5d,true
