track_name,requested_scope,official_description,official_unit,row_count,case_count,distinct_tid_count,review_status,auto_approved,merged_with_other_track,official_source_url
BIS/SQI,bis_sqi,Signal quality index,%,5867,5867,5867,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/PPF20_VOL,propofol_support,Infused volume (propofol 20 mg/mL),mL,3512,3512,3512,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/PPF20_CP,propofol_support,Plasma concentration (propofol 20 mg/mL),mcg/mL,3511,3511,3511,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/PPF20_CE,propofol_support,Effect-site concentration (propofol 20 mg/mL),mcg/mL,3511,3511,3511,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/PPF20_CT,propofol_support,Target concentration (propofol 20 mg/mL),mcg/mL,3511,3511,3511,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/RFTN20_VOL,remifentanil_20_support,Infused volume (remifentanil 20 mcg/mL),mL,4774,4773,4774,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/RFTN20_CP,remifentanil_20_support,Plasma concentration (remifentanil 20 mcg/mL),ng/mL,4771,4770,4771,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/RFTN20_CE,remifentanil_20_support,Effect-site concentration (remifentanil 20 mcg/mL),ng/mL,4771,4770,4771,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/RFTN20_CT,remifentanil_20_support,Target concentration (remifentanil 20 mcg/mL),ng/mL,4771,4770,4771,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
Orchestra/RFTN50_RATE,remifentanil_50_support,Infusion rate (remifentanil 50 mcg/mL),mL/hr,69,68,69,pending_human_review,false,false,https://vitaldb.net/dataset/?documentId=13qqajnNZzkN7NZ9aXnaQ-47NWy7kx-a6gbrcEsi-gak&query=overview&sectionId=h.vcpgs1yemdb5
