relative_path,file_type,bytes,sha256,source_or_output,generator,manuscript_reference,scientific_role,privacy_risk,classification,commit_recommendation
paper/artifact_audit.md,Markdown,2021,b556a9d6e28cf61d3fb1dd5ae680195adf11e902a40e4fd61d34a7d9f90b4cbb,source/manual,manual audit,figure package provenance,audit,low,A,commit
paper/figure_captions.md,Markdown,1467,e807c3a9679008525c8659bf221391b26f654f7cf72244bdf582033843787003,source/manual,manual captions,caption source,main and supplementary captions,low,A,commit
paper/figure_data/main_control_summary.csv,CSV,2008,34115252fad2c6547b32a2cf3da6c78faafb29d9af8ce8ba9be6bac8b797887d,generated data,scripts/paper/make_result_figures.py,paper/figures/main_control_performance,publication-safe aggregate medians and IQR,low:A aggregate only,A,commit
paper/figure_data/paired_control_effects.csv,CSV,2309,8e8d63a7e57a960ab9abe60c489755c4ab0f05acb99671b0534fe4388b5f89cb,generated data,scripts/paper/make_result_figures.py,paper/figures/paired_control_effects,publication-safe paired aggregate effects,low:A aggregate only,A,commit
paper/figure_manifest.md,Markdown,1790,5259c9302508277b1fcdb20da306053cf241c802c165f16ba0025c48e9a3e88d,source/manual,manual manifest,figure package index,figure roles and sources,low,A,commit
paper/figures/controlled_experiment_framework.pdf,PDF,21238,4016d49fbac9d53fc2ebfe89884803fee254289f35eb31fdb3bf7991fb1b58aa,generated output,scripts/paper/make_framework_figures.py,paper/snippets/figure_framework.tex,main figure candidate,low,A,commit
paper/figures/controlled_experiment_framework.png,PNG,203825,d391661c5959ec1cb929aaf289f0a19ab7f1bccfc590fbed5ead147517104bd4,generated preview,scripts/paper/make_framework_figures.py,preview of referenced PDF,main figure preview,low,A,commit
paper/figures/main_control_performance.pdf,PDF,18969,1403d74132af9857d00212da3bfd86c6ada5b80df49c6d6f84e5f1c3501252f6,generated output,scripts/paper/make_result_figures.py,paper/snippets/figure_main_results.tex,main result figure,low:A aggregate only,A,commit
paper/figures/main_control_performance.png,PNG,145302,bd49a2287c0103401fc3a54e0b1d5828e7cb3eec4d459f03afdfc6b482237a4c,generated preview,scripts/paper/make_result_figures.py,preview of referenced PDF,main result preview,low:A aggregate only,A,commit
paper/figures/paired_control_effects.pdf,PDF,18528,04ed364c7c15612bf40ef0dbfd517e1d9c82afcac5c25457fc5f8c31e3c80267,generated output,scripts/paper/make_result_figures.py,paper/snippets/figure_main_results.tex,alternate main result figure,low:A aggregate only,A,commit
paper/figures/paired_control_effects.png,PNG,129490,aae2e2bbbc64fac3664b28d0c2651a8bc5b4f98e8289c4f56f695cec16d280b1,generated preview,scripts/paper/make_result_figures.py,preview of referenced PDF,paired result preview,low:A aggregate only,A,commit
paper/figures/ppo_actor_critic_architecture.pdf,PDF,21267,c8ab3d0065f0df6367b82e16fafd9d5b85fae4eb044e71ae6fd572b191b57297,generated output,scripts/paper/make_ppo_architecture_figure.py,paper/snippets/figure_ppo_architecture.tex,methods figure,low,A,commit
paper/figures/ppo_actor_critic_architecture.png,PNG,204342,587e84c907fe549f2439ad2b7706a886390b0fe574ff57564fa0da7fa78475d8,generated preview,scripts/paper/make_ppo_architecture_figure.py,preview of referenced PDF,methods preview,low,A,commit
paper/figures/training_evaluation_workflow.pdf,PDF,12077,665fcfb0ae74548ae56cf2c75a6d6ad6a305e9cb030ea74891aba3bcc09acd29,generated output,scripts/paper/make_framework_figures.py,paper/snippets/figure_algorithm_workflow.tex,supplementary workflow,low,A,commit
paper/figures/training_evaluation_workflow.png,PNG,151048,640dd257a91a827c367bff22e84c4139e015c26c914c1dc99fd0270e3ad54c14,generated preview,scripts/paper/make_framework_figures.py,preview of referenced PDF,supplementary preview,low,A,commit
paper/ppo_architecture_audit.md,Markdown,5010,6829d23cd7a0ef823e6a328b746419d45f07ac3e2a03fc7bc485e98a0c9f7e62,source/manual,manual code and model audit,paper/snippets/figure_ppo_architecture.tex,architecture evidence,low,A,commit
paper/snippets/algorithm_controlled_ppo_experiment.tex,LaTeX,1697,dfa80fb80466ec78fb81a285ec024f255e547ed42ee6d1bbac70ade39751be7e,source/manual,manual snippet,manuscript insertion candidate,algorithm description,low,A,commit
paper/snippets/algorithm_controlled_ppo_experiment_notes.md,Markdown,406,4b6a1a340fabc1fc86f9332cfd268ebddf9810c24b66e49c0fb5eee5abd935c0,source/manual,manual notes,algorithm snippet companion,audit note,low,A,commit
paper/snippets/figure_algorithm_workflow.tex,LaTeX,479,a6507f6b373026a2e82ba5402f233601b385950a50c58f7a8249ba87682093f2,source/manual,manual snippet,training_evaluation_workflow.pdf,figure insertion snippet,low,A,commit
paper/snippets/figure_framework.tex,LaTeX,550,ee917df37455607e8acf3946c5a03e64f353328965735879bfff6b164433b3a0,source/manual,manual snippet,controlled_experiment_framework.pdf,figure insertion snippet,low,A,commit
paper/snippets/figure_main_results.tex,LaTeX,1168,84e60043efedc20880dadb447bbf3b94a69574668b5ca075c77c9db3744066b5,source/manual,manual snippet,main and paired result PDFs,figure insertion snippets,low:A aggregate only,A,commit
paper/snippets/figure_ppo_architecture.tex,LaTeX,805,e42af8a7faaa8981f9a724a8290dd89fe9d394a7b9fcd6230187e7fb0f1c5621,source/manual,manual snippet,ppo_actor_critic_architecture.pdf,figure insertion snippet,low,A,commit
scripts/paper/make_framework_figures.py,Python,6380,ac5ef6f11b198f5896b83b3163aac6fd6895ccc032260933238cc6246892373b,source script,self,framework and workflow figures,canonical concept generator,low,A,commit
scripts/paper/make_ppo_architecture_figure.py,Python,4863,ec27552286e27e50ed2474db5ca437379fd5f1a11193f2fcd1d7bfee770f5abb,source script,self,architecture figure,canonical architecture generator,low,A,commit
scripts/paper/make_result_figures.py,Python,10638,30300852a040edb6d60a86168fc6fe383c3bbe55c3046d6a270167a36ce11da1,source script,self,main and paired figures,canonical frozen-result generator,low:A aggregate only,A,commit
scripts/paper/plot_style.py,Python,2063,6e6dc7fe3f2502fe2ea3a23a878ed347fbf872367f3c45e777fac51c91a7db6e,source script,shared helper,all canonical figures,publication style,low,A,commit
