target_path,source_repository,source_path,source_commit_sha,migration_type,scientific_dependency,required_tests,audit_status,migration_date,notes
".gitignore","khyitty/VitalDB-Feature-Selection",".gitignore","9501b16a5c4db27f06fa0d0b252a3a75f633967f","rewrite","no","clean_environment_install;governance_suite","pending","2026-07-19","Recreate for the confirmatory repository; do not copy legacy project policy or dependency state."
"README.md","khyitty/VitalDB-Feature-Selection","README.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","rewrite","no","synthetic_regression;independent_equivalence;no_test_access","pending","2026-07-19","Recreate for the confirmatory repository; do not copy legacy project policy or dependency state."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","configs/ppo_primary_state_full.json","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","configs/ppo_primary_state_pilot.json","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","configs/rl_state_profiles/selected_template.json","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/processed/bis_distribution_case_3.png","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/processed/bis_timeseries_case_3.png","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/processed/selected_tracks.csv","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/processed/vitaldb_sample_30cases_raw_tracknames.csv","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/processed/vitaldb_sample_30cases_renamed.csv","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","data/raw/clinical.csv","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"docs/pkpd_assumptions_and_units.md","khyitty/VitalDB-Feature-Selection","docs/pkpd_assumptions_and_units.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","synthetic_unit_consistency;exact_zoh_vs_solve_ivp;finite_nonnegative","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/pkpd_equation_traceability.md","khyitty/VitalDB-Feature-Selection","docs/pkpd_equation_traceability.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","synthetic_unit_consistency;exact_zoh_vs_solve_ivp;finite_nonnegative","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/ppo_comparison_protocol.md","khyitty/VitalDB-Feature-Selection","docs/ppo_comparison_protocol.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/ppo_primary_state_full_protocol.md","khyitty/VitalDB-Feature-Selection","docs/ppo_primary_state_full_protocol.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/ppo_primary_state_pilot_protocol.md","khyitty/VitalDB-Feature-Selection","docs/ppo_primary_state_pilot_protocol.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/rl_environment_source_traceability.md","khyitty/VitalDB-Feature-Selection","docs/rl_environment_source_traceability.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/rl_handoff_requirements.md","khyitty/VitalDB-Feature-Selection","docs/rl_handoff_requirements.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"docs/rl_state_selection_protocol.md","khyitty/VitalDB-Feature-Selection","docs/rl_state_selection_protocol.md","9501b16a5c4db27f06fa0d0b252a3a75f633967f","refactor","mixed","gymnasium_contract;transition_reward_invariance;random_rollout;no_full_training","pending","2026-07-19","Reference only; reconcile claims and equations against public sources before any later migration."
"scripts/run_metadata_audit.py","khyitty/VitalDB-Feature-Selection","explore_vitaldb_sample.py","9501b16a5c4db27f06fa0d0b252a3a75f633967f","rewrite","mixed","full_case_guard;no_first_n;failure_manifest;synthetic_api","pending","2026-07-19","Contains pilot/first-N behavior or legacy cohort assumptions; design anew after inventory."
"src/vitaldb_state_selection/cohort/eligibility.py","khyitty/VitalDB-Feature-Selection","main.py","9501b16a5c4db27f06fa0d0b252a3a75f633967f","rewrite","mixed","full_case_guard;no_first_n;failure_manifest;synthetic_api","pending","2026-07-19","Contains pilot/first-N behavior or legacy cohort assumptions; design anew after inventory."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_frozen_candidate_analysis.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_frozen_candidate_retraining.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_frozen_predictive_test.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_full_training.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_gpu_setup.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_group_retraining_analysis.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
"NOT_MIGRATED","khyitty/VitalDB-Feature-Selection","notebooks/colab_pkpd_simulator_validation.ipynb","9501b16a5c4db27f06fa0d0b252a3a75f633967f","reject","yes","not_applicable_rejected_artifact","rejected","2026-07-19","Tracked legacy data, result, notebook, or frozen configuration; prohibited data-dependent artifact."
